Product ID,Product Name,Description,Brand,Main Image URL,Additional Image URLs,Base Price,Sale Price,Currency,Primary Category,Sub-category,Tags,Size,Color,Material,Average Rating,Reviews,Vendor Name,Vendor ID,Active Promotions,Direct URL to marketplace
1011,SIMPLE DOME TEE - Sports T-shirts,regular cotton tshirt,The North Face,https://img01.ztat.net/article/spp-media-p1/5a2054521ea63c76b967129ac00f99e0/53e05d695047435790cf3ffaf5b8e17c.jpg?imwidth=1800,,"249,00","224,00",DKK,Men,T-shirt,"casual, everyday, regular",S/M/L,White/Black/Pink/Orange/Gravel,Cotton,4.5,So Stylish!,Zalando,V001,,https://www.zalando.dk/the-north-face-simple-dome-t-shirts-basic-white-th342d00t-a11.html
1012,ORIGINAL - T-shirts basic,regular cotton tshirt,GANT,https://img01.ztat.net/article/spp-media-p1/1aae619ddfed3881adf4291320b3489c/008ba9180eb842c89e12d309be4b4d6f.jpg?imwidth=1800,,"349,00",,DKK,Men,T-shirt,"casual, everyday, regular",S/M/L/XL,White/Azul/Beige/Black,Cotton,4.0,It's ok,Zalando,V001,,https://www.zalando.dk/gant-t-shirts-basic-hvid-ga322d00x-a11.html
1013,"Comfort Colors Men's Short Sleeve Tee, Style 1717",Adult tee knitted of the softest 100% cotton,Comfort Colors,https://m.media-amazon.com/images/I/51f1nf53sDL._AC_UX466_.jpg,,"9,79",,USD,Men,T-shirt,"casual, everyday, regular",S/M/L/XL,White/Black/Navy,Cotton,4.6,This is an amazing basic shirt,Amazon,V005,,https://www.amazon.com/Comfort-Colors-Sleeve-1717-X-Large/dp/B07M8NX6YB/ref=sr_1_7?crid=1K8EPYVRNPNJU&keywords=white%2Btshirt&qid=1698048662&sprefix=white%2Btshir%2Caps%2C224&sr=8-7&th=1&psc=1
1014,"Hanes Men's Undershirts, Odor Control, Moisture-Wicking Tee Shirts, Multi-Packs",slim-fit tee that has all the best features of a classic cotton T-shirt but with the pared-down silhouette you prefer.,Hanes,https://m.media-amazon.com/images/I/71+fiqvTvEL._AC_UX569_.jpg,,"10,98",,USD,Men,T-shirt,"casual, everyday, regular",S/M/L/XL,White,Cotton,4.5,High-Quality Comfort at an Affordable Price,Amazon,V005,,https://www.amazon.com/Hanes-Available-Moisture-Wicking-Undershirts-Multipack/dp/B000HOBYCW/ref=sr_1_10?crid=1K8EPYVRNPNJU&keywords=white%2Btshirt&qid=1698048662&sprefix=white%2Btshir%2Caps%2C224&sr=8-10&th=1&psc=1
1015,TEE FUTURA UNISEX - T-shirts basic,regular cotton tshirt,Nike,https://img01.ztat.net/article/spp-media-p1/b37c72e1184c3acb8cab529d8b7a644c/2490d6d4805443b4b4481dee0e96ac0c.jpg?imwidth=1800,,"149,00",,DKK,Men,T-shirt,"casual, sport, everyday, regular",S/M/L/XL,Black/Khaki/Blue,Cotton,4.6,Fits well!,Zalando,V001,,https://www.zalando.dk/nike-sportswear-tee-futura-t-shirts-basic-ni126g00b-q11.html
1016,TEEN SIMPLE DOME TEE UNISEX - T-shirts basic,regular cotton tshirt,The North Face,https://img01.ztat.net/article/spp-media-p1/826cfa2afb0148669c4c8b7703580fdf/6081a2072f5f453d8874552003ee6479.jpg?imwidth=1800&filter=packshot,,"219,00","197,00",DKK,Unisex,T-shirt,"casual, everyday, regular",S/M/L/XL,Black/Orange/White,Cotton,4.4,Amazing!,Zalando,V001,,https://www.zalando.dk/the-north-face-teen-simple-dome-tee-t-shirts-basic-black-th343d01r-q11.html
1017,SPORTS T-SHIRT - Sports T-shirts,sport cotton t-shirt,Lacoste,https://img01.ztat.net/article/spp-media-p1/e1c6ae4ffa0e3f1baae2937f441d63eb/3af4963ba6e14151974450a893e492ef.jpg?imwidth=1800&filter=packshot,,"199,00","179,00",DKK,Men,T-shirt,"casual, sport",S/M/L/XL,Black/Blue/Green,Cotton/Polyester,4.0,So stylish!,Zalando,V001,,https://www.zalando.dk/lacoste-sport-tennis-funktionstrojer-l0643d006-q11.html
1018,SUPERSTAR - Sneakers,"sport sneakers, regular fit",adidas,https://img01.ztat.net/article/spp-media-p1/28e3d724a9103476bbf8180c33486e59/6ecf856da30e4872bd4dde0a2c3a61bd.jpg?imwidth=1800&filter=packshot,,"559,00",,DKK,Men,Sneakers,sport. casual,36,White,,4.2,Perfect!,Zalando,V001,,https://www.zalando.dk/adidas-originals-superstar-sneakers-hvid-ad116d00a-a11.html
1019,SUPERSTAR UNISEX - Sneakers,"sport sneakers, regular fit",adidas,https://img01.ztat.net/article/spp-media-p1/9ef2f62a55773ee2ac0bf313b8718b66/5d77c27f12264dc3a3bb8b54ccb4d3a7.jpg?imwidth=1800,,"579,00",,DKK,Unisex,Sneakers,sport. casual,"35,36,37",White/Black,,4.0,It's ok,Zalando,V001,,https://www.zalando.dk/adidas-originals-superstar-sneakers-footwear-white-ad116d0qb-a11.html
1020,Gopune Men's Windproof Bomber Jacket Winter Warm Padded Outwear Flight Coats,casual winter jacket,Gopune,https://m.media-amazon.com/images/I/71NzKGqEo5L._AC_SX569_.jpg,,"45,99",,USD,Men,Jacket,casual,S/M/L/XL,Black,Polyester,4.3,Good for the money,Amazon,V005,,https://www.amazon.com/Gopune-Bomber-Jacket-Military-Outwear/dp/B0BCG9N331/ref=sr_1_35?crid=3910ZAU5BMH2&keywords=winter+jackets+for+men&qid=1699008146&sprefix=winter+jacket%2Caps%2C191&sr=8-35
1021,TACVASEN Men's Skiing Jacket with Hood Waterproof Hiking Fishing Travel Fleece Jacket Parka Raincoat,casual winter jacket,Tacvasen,https://m.media-amazon.com/images/I/61H7TD6sXjL._AC_SX466_.jpg,,"87,99","64,98",USD,Men,Jacket,casual,S/M/L/XL,Black/Blue/Green,Polyester,4.6,"Warm, perfect",Amazon,V005,,https://www.amazon.com/TACVASEN-Jacket-Windproof-Fleece-Winter/dp/B07Z7CSGF4/ref=sr_1_24?crid=3910ZAU5BMH2&keywords=winter+jackets+for+men&qid=1699008146&sprefix=winter+jacket%2Caps%2C191&sr=8-24
1022,TACVASEN Men's Jacket-Casual Winter Cotton Military Jacket Thicken Hooded Cargo Coat,casual winter jacket,Tacvasen,https://m.media-amazon.com/images/I/610+Si1DRuL._AC_SX522_.jpg,,"108,99","75,98",USD,Men,Jacket,casual,S/M/L/XL,Black,Cotton/Polyester,4.4,Excellent Coat!,Amazon,V005,,https://www.amazon.com/TACVASEN-Jackets-Winter-Military-Outdoor/dp/B07L57PG34/ref=sr_1_15?crid=3910ZAU5BMH2&keywords=winter+jackets+for+men&qid=1699008146&sprefix=winter+jacket%2Caps%2C191&sr=8-15
1023,"Hanes Originals Lightweight, Crewneck T-Shirts for Men, Tri-Blend Tee",regular cotton tshirt,Hanes,https://m.media-amazon.com/images/I/81rODzF1tOL._AC_SX569_.jpg,,"14,00","9,00",USD,Men,T-shirt,"casual, everyday, regular",S/M/L/XL,Black/White/Navy,Polyester/Cotton,4.0,Fits Nicely!,Amazon,V005,,https://www.amazon.com/Hanes-Originals-Lightweight-Crewneck-Tri-Blend/dp/B0BTTQNRTH/ref=sr_1_18?crid=33TFPVN12IBFW&keywords=black+tshirt+for+men&qid=1699008067&sprefix=black+tshirt+for+men%2Caps%2C197&sr=8-18
1024,Russell Athletic Men's Dri-Power Cotton Blend Tees & Tanks,regular cotton tshirt,Russell Athletics,https://m.media-amazon.com/images/I/61KtrldtmeL._AC_SY550_.jpg,,"9,99","6,81",USD,Men,T-shirt,"casual, everyday, regular",XL,Black,Cotton/Polyester,4.2,Nice Fit,Amazon,V005,,https://www.amazon.com/Russell-Athletic-Essential-Short-Sleeve/dp/B071DVQKVK/ref=sr_1_15?crid=33TFPVN12IBFW&keywords=black%2Btshirt%2Bfor%2Bmen&qid=1699008067&sprefix=black%2Btshirt%2Bfor%2Bmen%2Caps%2C197&sr=8-15&th=1&psc=1
1025,"Hanes Men's Originals T-Shirt, 100% Cotton Tees for Men",regular cotton tshirt,Hanes,https://m.media-amazon.com/images/I/81pR-PtZX7L._AC_SX569_.jpg,,"13,00","8,79",USD,Men,T-shirt,"casual, everyday, regular",S/M/L/XL,Black/White,Cotton,4.2,Very confortable,Amazon,V005,,https://www.amazon.com/Hanes-Originals-Sleeve-Crewneck-T-Shirt/dp/B0BY3J5L6F/ref=sr_1_6?crid=33TFPVN12IBFW&keywords=black%2Btshirt%2Bfor%2Bmen&qid=1699008067&sprefix=black%2Btshirt%2Bfor%2Bmen%2Caps%2C197&sr=8-6&th=1&psc=1
1026,"Amazon Essentials Men's Crewneck Undershirt, Pack of 6",regular cotton tshirt,Amazon,https://m.media-amazon.com/images/I/51v5brDQozS._AC_SX466_.jpg,,"26,00",,USD,Men,T-shirt,"casual, everyday, regular",S/M/L/XL,White,Cotton,4.4,Good value for money,Amazon,V005,,https://www.amazon.com/Amazon-Essentials-6-Pack-Crewneck-Undershirts/dp/B06XW85TSB/ref=sr_1_1_ffob_sspa?crid=1KVHDY3JER8QA&keywords=white%2Btshirt%2Bfor%2Bmen&qid=1699008058&sprefix=white%2Btshirt%2Caps%2C243&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&th=1&psc=1
